                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     62,                0.16948,                0.69657,                0.96241,                0.96481,                0.98214,                0.99142,                 0.9493,                0.37538,                0.42227,                0.47723,              0.0006603,              0.0006603,              0.0006603
                     63,                0.16701,                 0.6703,                0.95973,                0.95332,                0.93922,                0.97433,                 0.9411,                0.31107,                0.47247,                0.42246,              0.0006438,              0.0006438,              0.0006438
                     64,                0.17034,                0.66657,                0.96483,                0.91313,                0.96109,                0.97327,                0.91752,                0.36187,                0.55153,                0.46332,             0.00062729,             0.00062729,             0.00062729
                     65,                0.17087,                0.67647,                0.97074,                0.92508,                0.93558,                0.97328,                0.91962,                0.36076,                0.53351,                0.46453,             0.00061079,             0.00061079,             0.00061079
                     66,                0.15674,                0.65824,                 0.9564,                0.90638,                0.88958,                0.93814,                0.89068,                0.36024,                0.71466,                0.47363,             0.00059429,             0.00059429,             0.00059429
                     67,                0.17373,                0.67722,                0.96638,                0.90121,                0.92473,                0.96629,                0.91307,                0.38686,                0.56199,                0.49029,             0.00057778,             0.00057778,             0.00057778
                     68,                0.16414,                0.66791,                0.96087,                 0.8682,                0.85275,                0.92029,                0.89286,                0.33511,                0.81701,                0.43856,             0.00056128,             0.00056128,             0.00056128
                     69,                 0.1583,                0.65892,                0.95445,                0.84895,                0.80298,                0.92469,                0.84539,                0.38986,                 0.7624,                 0.5066,             0.00054478,             0.00054478,             0.00054478
                     70,                0.15316,                 0.6497,                0.95591,                0.92806,                0.93325,                0.97444,                0.94018,                0.33969,                0.50537,                 0.4552,             0.00052827,             0.00052827,             0.00052827
                     71,                0.15261,                0.65154,                0.95218,                0.91052,                0.89347,                0.96558,                0.93395,                0.34554,                0.64075,                0.46142,             0.00051177,             0.00051177,             0.00051177
                     72,                0.16351,                0.65201,                0.96268,                0.91943,                 0.9587,                0.97846,                0.92392,                0.39021,                0.49875,                0.48408,             0.00049527,             0.00049527,             0.00049527
                     73,                0.15731,                0.65206,                 0.9583,                0.95379,                0.96235,                0.98439,                0.93257,                0.39285,                0.43729,                0.48551,             0.00047876,             0.00047876,             0.00047876
